SRNO,COMPANY,DATE,QUANTITY,PURCHASE PRICE,PURCHASE VALUE,Latest Price,Profit/Loss,Percentage Change,Ticker
19.0,GUJGASLTD,20-08-2021,25.0,719.25,17981.25,392.6499938964844,-8165.000152587891,-45.408412388392854,GUJGASLTD.NS
20.0,ASIANPAINTÿ,20-08-2021,3.0,3056.95,9170.85,,,,ASIANPAINTÿ.NS
21.0,SBIN,20-08-2021,25.0,411.9,10297.5,745.0,8327.5,80.86914299587279,SBIN.NS
22.0,COFORGE,20-08-2021,2.0,4900.0,9800.0,7533.75,5267.5,53.75,COFORGE.NS
23.0,DIVIS LAB,20-08-2021,2.0,4910.85,9821.7,5820.14990234375,1818.5998046874993,18.51614083801683,DIVISLAB.NS
24.0,DIXON TECH,20-08-2021,2.0,4050.0,8100.0,,,,DIXONTECH.NS
25.0,HERO MOTOCORP,20-08-2021,6.0,2726.05,16356.3,,,,HEROMOTOCORP.NS
26.0,TATAELXSI,20-08-2021,16.0,4748.95,75983.2,5357.89990234375,9743.198437500003,12.822832464939623,TATAELXSI.NS
27.0,GRINDWELL NOTRON,20-08-2021,10.0,1204.58,12045.8,,,,GRINDWELLNOTRON.NS
28.0,GRINDWELL NOTRON,20-08-2021,10.0,1201.35,12013.5,,,,GRINDWELLNOTRON.NS
29.0,HDFCBANK,20-08-2021,10.0,1504.0,15040.0,1744.6500244140625,2406.500244140625,16.000666516892455,HDFCBANK.NS
30.0,GUJGASLTD,23-08-2021,25.0,715.45,17886.25,392.6499938964844,-8070.0001525878915,-45.11845776832981,GUJGASLTD.NS
31.0,PIDILITEIND,23-08-2021,4.0,2279.55,9118.2,,,,PIDILITEIND.NS
32.0,TATA MOTORS,23-08-2021,50.0,285.2,14260.0,681.9000244140625,19835.001220703125,139.0953802293347,TATAMOTORS.NS
33.0,YES BANK,23-08-2021,500.0,11.23,5615.0,17.010000228881836,2890.000114440918,51.469280755848935,YESBANK.NS
34.0,BAJAJ FINANCE,23-08-2021,4.0,6723.55,26894.2,,,,BAJAJFINANCE.NS
35.0,COFORGE,23-08-2021,4.0,5027.7,20110.8,7533.75,10024.2,49.84485947848917,COFORGE.NS
36.0,HAVELLS,23-08-2021,4.0,1282.3,5129.2,1554.300048828125,1088.0001953125002,21.21188870218553,HAVELLS.NS
37.0,ICICI BANK,23-08-2021,20.0,684.35,13687.0,1312.050048828125,12554.0009765625,91.72207917412507,ICICIBANK.NS
38.0,GAIL,23-08-2021,25.0,142.25,3556.25,165.61000061035156,584.0000152587891,16.421793047698813,GAIL.NS
39.0,HAVELLS,23-08-2021,2.0,1258.2,2516.4,1554.300048828125,592.2000976562499,23.53362333715824,HAVELLS.NS
40.0,GUJGASLTD,23-08-2021,25.0,694.24,17356.0,392.6499938964844,-7539.750152587891,-43.44175013014456,GUJGASLTD.NS
41.0,TATA MOTORS,23-08-2021,50.0,277.65,13882.5,681.9000244140625,20212.501220703125,145.59698340142717,TATAMOTORS.NS
